Date_Run	BY	Primer	Sample	Animal	Group	Tissue	Age	Threshold	Slope	Intercept	R2	CT1	CT2	Copy_1	Copy_2	ng_RNA	CONV>ng RNA	per_ng_1	per_ng_2	Mean	Stdev	Coeff_pct	CT3	Copy_3	per_ng_3
8/23/2019	DV	AV4	7B31L	7	B31	L	13.8	0.346	-3.311	36.42	0.999	20.75	21.5	5.40E+04	3.21E+04		10	5400.00	3213.00	4307.00	1546.00	0.36			
8/23/2019	DV	AV4	8B31L	8	B31	L	13.8	0.346	-3.311	36.42	0.999	18.54	18.68	2.51E+05	2.27E+05		10	25070.00	22710.00	23890.00	1669.00	0.07			
7/16/2019	DV	AV4	4B31L	4	B31	L	13.8	0.6721	-3.293	37.18	0.999	18.69	18.61	4.13E+05	4.35E+05		10	41270.00	43520.00	42395.00	1591.00	0.04			
9/19/2019	DWP	AV4	9B23L	9	B23	L	16.2		-3.3	37.25		18.42	18.03	5.10E+05	6.70E+05	200	10	50640.00	66680.00	58660.00	11342.00	0.19			
10/15/2019	DWP	AV4	10B23L	10	B23	L	16.2		-3.21	37.14		27.2	26.86	1.30E+03	1.60E+03	200	10	126.00	160.00	143.00	24.00	0.17			
10/15/2019	DWP	AV4	11B23L	11	B23	L	16.2		-3.21	37.14		25.27	25.24	5.00E+03	5.10E+03	200	10	503.00	514.00	509.00	8.00	0.02			
10/15/2019	DWP	AV4	12B23L	12	B23	L	16.2		-3.21	37.14		21.97	21.67	5.40E+04	6.70E+04	200	10	5373.00	6674.00	6024.00	920.00	0.15			
2/24/2020	DWP	AV4	17B15L	17	B15	L	18.7	0	-3.2884	35.9018	0.9894	17.21	17.187	4.84E+05	4.91E+05	200	10	48375.00	49104.00	48740.00	515.00	0.01			
2/24/2020	DWP	AV4	18B15L	18	B15	L	18.7	0	-3.2884	35.9018	0.9894	18.6	19.052	1.82E+05	1.33E+05	200	10	18249.00	13302.00	15776.00	3498.00	0.22			
2/24/2020	DWP	AV4	19B15L	19	B15	L	18.7	0	-3.2884	35.9018	0.9894	17.66	18.221	3.52E+05	2.38E+05	200	10	35192.00	23816.00	29504.00	8044.00	0.27			
3/19/2020	DV	AV4	1B10O	1	B10	O	11.9	0.109	-3.1	33.93	1	21.36	21.28	1.13E+04	1.20E+04	200	10	1126.00	1197.00	1162.00	50.00	0.04			
3/19/2020	DV	AV4	2B10O	2	B10	O	11.9	0.109	-3.1	33.93	1	22.08	21.88	6.60E+03	7.67E+03	200	10	660.00	767.00	714.00	76.00	0.11			
3/19/2020	DV	AV4	3B10O	3	B10	O	11.9	0.109	-3.1	33.93	1	22.79	22.51	3.91E+03	4.80E+03	200	10	391.00	480.00	435.00	63.00	0.14			
8/23/2019	DV	AV4	6B31O	6	B31	O	13.8	0.346	-3.311	36.42	0.999	17.14	17.15	6.65E+05	6.59E+05		10	66540.00	65860.00	66200.00	481.00	0.01			
8/23/2019	DV	AV4	7B31O	7	B31	O	13.8	0.346	-3.311	36.42	0.999	23.16	23.46	1.01E+04	8.21E+03		10	1012.00	821.00	916.00	135.00	0.15			
8/23/2019	DV	AV4	8B31O	8	B31	O	13.8	0.346	-3.311	36.42	0.999	24.39	24.3	4.30E+03	4.55E+03		7.7	558.00	591.00	575.00	23.00	0.04			
7/16/2019	DV	AV4	1B31O	1	B31	O	13.8	0.6721	-3.293	37.18	0.999	17.32	17.68	1.07E+06	8.35E+05		8.4	127857.10	99440.50	113649.00	20094.00	0.18			
7/16/2019	DV	AV4	2B31O	2	B31	O	13.8	0.6721	-3.293	37.18	0.999	23.44	23.51	1.49E+04	1.42E+04		8.4	1777.40	1688.10	1733.00	63.00	0.04			
7/16/2019	DV	AV4	4B31O	4	B31	O	13.8	0.6721	-3.293	37.18	0.999	22.01	21.83	4.05E+04	4.61E+04		8.4	4818.00	5485.00	5151.00	471.00	0.09			
5/22/2019	DV	AV4	3B31O	3	B31	O	13.8	0.3245	-3.285	0	0.998	20.61	20.4	4.62E+04	5.34E+04		14.7	3140.14	3634.01	3387.07	349.22	0.10			
5/16/2019	DV	AV4	3B31O	3	B31	O	13.8	0.1738	-3.225	0	0.999	18.02	18.24	1.30E+05	1.10E+05		14.7	8823.13	7496.60	6988.89	2133.89	0.31	18.91	"68,310"	4.65E+03
